,Unnamed: 0,nid,title,price,ps_sort,price_section,sales,comments,isFee,isTmall,province,city,storeName,detailUrl
0,0,607286310296,2送1天然维生素E软胶囊ve维e内服外用面部外涂脸脸部油搭c片含片,39.9,0,"(0,50]",100000,241933,是,是,上海,上海,众久旗舰店,//detail.tmall.com/item.htm?id=607286310296&ns=1&abbucket=10
1,1,16248578021,100片康恩贝维生素C咀嚼片vc片维他命c含片成人男女高含量维c搭ve,19.9,0,"(0,50]",70000,229136,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=16248578021&ns=1&abbucket=10
2,2,610694979400,修正牌维生素E软胶囊ve内服外用面部外涂脸部维e油搭VC维生素C,29.9,0,"(0,50]",55000,25549,是,是,浙江,金华,希希林保健品专营店,//detail.tmall.com/item.htm?id=610694979400&ns=1&abbucket=10
3,3,596926979654,汤臣倍健天然博士维生素c儿童咀嚼片非泡腾vc含片成人针叶樱桃粉,49.9,0,"(0,50]",40000,42637,是,是,广东,佛山,天然博士旗舰店,//detail.tmall.com/item.htm?id=596926979654&ns=1&abbucket=10
4,4,586808222995,买2送1买3送2修正牌维生素E软胶囊ve维e内服外用面部外涂脸脸部,39.9,0,"(0,50]",35000,248627,是,是,浙江,杭州,修正官方旗舰店,//detail.tmall.com/item.htm?id=586808222995&ns=1&abbucket=10
5,5,541461689922,3盒】星鲨维生素D滴剂(胶囊型)24粒补钙维生素D佝偻病官方婴儿钙,108.0,2,"(100,150]",30000,128963,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541461689922&ns=1&abbucket=10
6,6,610410489088,江中液体钙维生素d3成人碳酸钙中老年女性儿童男青年补钙片青少年,49.9,0,"(0,50]",30000,48255,是,是,浙江,金华,康合森保健品专营店,//detail.tmall.com/item.htm?id=610410489088&ns=1&abbucket=10
7,7,584518631283,买2送天然VE】黄金搭档维生素C含片100片VC维C咀嚼片维他命C女男,18.9,0,"(0,50]",25000,214737,是,是,江苏,无锡,黄金搭档官方旗舰店,//detail.tmall.com/item.htm?id=584518631283&ns=1&abbucket=10
8,8,620395384553,买2送1维生素E软胶囊ve维e胶囊油外用面部外涂痘印色斑脸部搭c片,19.9,0,"(0,50]",25000,10808,是,是,浙江,杭州,newliann纽利安旗舰店,//detail.tmall.com/item.htm?id=620395384553&ns=1&abbucket=10
9,9,538366041025,21金维他多维元素片100片复合维生素B b6 b1 b2维生素c钙铁锌21,66.0,1,"(50,100]",20000,77980,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=538366041025&ns=1&abbucket=10
10,10,543557093930,汤臣倍健褪黑素安瓶助改善失眠安深度睡眠片神退腿褪黑色素片定眠,86.0,1,"(50,100]",20000,80598,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=543557093930&ns=1&abbucket=10
11,11,612632031478,拍2发3】朗迪氨糖软骨碳酸钙维生素d3片加补钙片成人男女性青年,55.8,1,"(50,100]",20000,63323,是,是,浙江,金华,朗迪保健品旗舰店,//detail.tmall.com/item.htm?id=612632031478&ns=1&abbucket=10
12,12,41353784171,汤臣倍健液体钙片碳酸钙中老年成年女性青少年维生素d3官方旗舰店,94.0,1,"(50,100]",20000,149538,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=41353784171&ns=1&abbucket=10
13,13,607216048992,买2送1 维生素C维C咀嚼片C含片维他命VC糖果香橙味男女性搭VE,9.9,0,"(0,50]",15000,77189,是,是,上海,上海,众久旗舰店,//detail.tmall.com/item.htm?id=607216048992&ns=1&abbucket=10
14,14,545272473579,汤臣倍健液体钙片碳酸钙中老年成年女性青少年维生素d3官方旗舰店,94.0,1,"(50,100]",15000,40705,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=545272473579&ns=1&abbucket=10
15,15,593422855591,3盒】星鲨维生素D滴剂(胶囊型)36粒预防补钙佝偻病婴幼儿童鲨星d3,162.0,3,"(150,200]",15000,20318,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=593422855591&ns=1&abbucket=10
16,16,620064859947,碧生源维生素e软胶囊110粒营养ve维e内服外用面部外涂脸脸部,29.9,0,"(0,50]",15000,511,否,否,上海,上海,爱抢购app充值,//item.taobao.com/item.htm?id=620064859947&ns=1&abbucket=10#detail
17,17,584643157884,优信维生素C泡腾片儿童成人沸腾泡片固体饮料多种水果VC泡腾维C片,15.9,0,"(0,50]",15000,80213,是,是,江苏,南京,优信保健食品旗舰店,//detail.tmall.com/item.htm?id=584643157884&ns=1&abbucket=10
18,18,574010851173,康恩贝维生素C泡腾片固体饮料儿童成人维他命VC泡腾维C片沸腾泡片,24.8,0,"(0,50]",15000,103327,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=574010851173&ns=1&abbucket=10
19,19,14218126499,买3发7】禾博士B族维生素片多种维生素b1 b6 b2 复合维b 男女性vb,39.9,0,"(0,50]",15000,143730,是,是,上海,上海,禾博士旗舰店,//detail.tmall.com/item.htm?id=14218126499&ns=1&abbucket=10
20,20,597521234497,钙片碳酸钙男青年长高学生青少年中老年维生素D3补健力多汤臣倍健,44.0,0,"(0,50]",15000,3073,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=597521234497&ns=1&abbucket=10
21,21,541909265646,恒健维生素B6片100片补充维生素B6 脂溢性皮炎嘴唇干裂妊娠呕吐,4.9,0,"(0,50]",15000,54269,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541909265646&ns=1&abbucket=10
22,22,542314489183,养生堂牌天然维生素E软胶囊250mg/粒*100粒 美容祛黄褐斑,49.9,0,"(0,50]",10000,35303,是,是,浙江,杭州,养生堂旗舰店,//detail.tmall.com/item.htm?id=542314489183&ns=1&abbucket=10
23,23,591591078059,东北制药维生素C片100s0.1g100mg*100片/盒紫癜,4.3,0,"(0,50]",10000,13222,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=591591078059&ns=1&abbucket=10
24,24,598924199561,汤臣倍健维生素C咀嚼片维c含片补充vc搭配天然维生素eVE软胶囊,169.0,3,"(150,200]",10000,83143,是,是,广东,广州,喜多保健食品专营店,//detail.tmall.com/item.htm?id=598924199561&ns=1&abbucket=10
25,25,41577672438,买2送大麦茶】修正维生素C含片100片 VC咀嚼片可搭VE维生素E胶囊,19.9,0,"(0,50]",10000,39975,是,是,浙江,金华,修正官方旗舰店,//detail.tmall.com/item.htm?id=41577672438&ns=1&abbucket=10
26,26,558451856579,朗迪碳酸钙d3片孕妇钙片儿童中老年成人女性孕期维生素D钙咀嚼片,75.0,1,"(50,100]",10000,49564,是,是,广东,广州,振东旗舰店,//detail.tmall.com/item.htm?id=558451856579&ns=1&abbucket=10
27,27,587870618119,Swisse 斯维诗澳洲进口钙片维生素D150片 孕妇VD钙 成人老年补钙,105.0,2,"(100,150]",10000,125522,是,是,浙江,杭州,天猫国际进口超市,//detail.tmall.com/item.htm?id=587870618119&ns=1&abbucket=10
28,28,619236060074,碧生源维生素C+E片1.0g/片*60片营养,39.0,0,"(0,50]",10000,83,否,否,上海,上海,爱抢购app充值,//item.taobao.com/item.htm?id=619236060074&ns=1&abbucket=10#detail
29,29,613824723101,星鲨维生素D3婴儿软胶囊维生素D滴剂儿童钙新生儿成人孕妇婴幼儿,48.0,0,"(0,50]",10000,35062,是,是,福建,厦门,星鲨旗舰店,//detail.tmall.com/item.htm?id=613824723101&ns=1&abbucket=10
30,30,558904782624,生长钙片碳酸钙产品15青少年学生成年乳钙厘米没长高激素神器增高,195.0,3,"(150,200]",10000,128789,是,是,云南,昆明,麦金利圣草峰专卖店,//detail.tmall.com/item.htm?id=558904782624&ns=1&abbucket=10
31,31,540972926824,3盒包邮】达因伊可新维生素AD滴剂30粒1岁以上AD预防佝偻病ad滴剂,108.0,2,"(100,150]",10000,28263,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=540972926824&ns=1&abbucket=10
32,32,627652742153,Jamieson健美生 天然维生素C咀嚼片甜橙味120粒 高浓度VC,99.0,1,"(50,100]",10000,1206,是,是,浙江,杭州,天猫国际妙颜社,//detail.tmall.com/item.htm?id=627652742153&ns=1&abbucket=10
33,33,558539893857,朗迪钙碳酸钙加维生素d3颗粒婴幼小儿童成人孕妇宝宝长钙备孕补钙,55.0,1,"(50,100]",10000,13572,是,是,广东,广州,振东旗舰店,//detail.tmall.com/item.htm?id=558539893857&ns=1&abbucket=10
34,34,541519712155,领券减】爱乐维复合维生素100片孕妇叶酸补充备孕早期多维元素B,358.0,7,"(350,400]",10000,63068,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541519712155&ns=1&abbucket=10
35,35,541909465274,恒健复合维生素B片100片营养不良厌食精力不集中糙皮病脚气口臭,7.1,0,"(0,50]",10000,52998,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541909465274&ns=1&abbucket=10
36,36,570159773133,健力多补钙片碳酸钙中老年维生素d3女性男青年少长高学生汤臣倍健,59.9,1,"(50,100]",10000,179726,是,是,广东,佛山,健力多官方旗舰店,//detail.tmall.com/item.htm?id=570159773133&ns=1&abbucket=10
37,37,42384720235,买2送1 修正B族维生素片 复合维生素b 维b b1 b2 b6 b12熬夜常备,49.0,0,"(0,50]",10000,82086,是,是,浙江,杭州,修正官方旗舰店,//detail.tmall.com/item.htm?id=42384720235&ns=1&abbucket=10
38,38,548136223424,vc汤臣倍健维生素c咀嚼片维他命C含片女性维C搭天然VE粉泡腾泡片,98.0,1,"(50,100]",10000,56030,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=548136223424&ns=1&abbucket=10
39,39,540340636599,达因伊可新维生素AD滴剂50粒0~1岁维生素儿童婴幼儿婴儿钙ad滴剂,62.0,1,"(50,100]",10000,24849,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=540340636599&ns=1&abbucket=10
40,40,538404924511,善存多维元素29)100片ⅴc复合维生素含叶酸维生素b6 b1b2维生素C,124.0,2,"(100,150]",10000,48594,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=538404924511&ns=1&abbucket=10
41,41,609968763164,【200粒大瓶液体钙】恩威万钙维生素D高钙片胶囊青少年中老年补钙,58.0,1,"(50,100]",10000,3246,是,是,山东,威海,恩威万旗舰店,//detail.tmall.com/item.htm?id=609968763164&ns=1&abbucket=10
42,42,521504280975,100片康恩贝维生素C咀嚼片香橙味维他命含片VC增强免疫坏血病,17.9,0,"(0,50]",10000,105013,否,是,上海,上海,天猫超市,//detail.tmall.com/item.htm?id=521504280975&ns=1&abbucket=10
43,43,583244686434,汤臣倍健维生素C咀嚼片vc含片补充维c搭配天然VE维生素e软胶囊,109.0,2,"(100,150]",10000,31865,是,是,广东,广州,喜多保健食品专营店,//detail.tmall.com/item.htm?id=583244686434&ns=1&abbucket=10
44,44,538394156434,惠氏钙尔奇钙片60片碳酸钙D3孕妇成人补钙维生素D3骨质疏松药店,63.0,1,"(50,100]",9500,29376,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=538394156434&ns=1&abbucket=10
45,45,602806091642,成人综合多种维生素c加e咀嚼片女士天然vc片孕妇复合维生素ce含片,29.9,0,"(0,50]",9500,9990,是,是,江西,南昌,食妆久美旗舰店,//detail.tmall.com/item.htm?id=602806091642&ns=1&abbucket=10
46,46,576577298228,华晨宇同款cenovis萃益维维c片无糖维生素c咀嚼片美白vc含片300粒,99.0,1,"(50,100]",9500,59570,是,是,浙江,杭州,cenovis海外旗舰店,//detail.tmall.com/item.htm?id=576577298228&ns=1&abbucket=10
47,47,546704307497,vc片维生素c汤臣倍健维生素C咀嚼片维C含片男女搭天然VE泡腾泡片,98.0,1,"(50,100]",9000,43391,是,是,北京,北京,汤臣倍健众华朗臣专卖店,//detail.tmall.com/item.htm?id=546704307497&ns=1&abbucket=10
48,48,574535143855,汤臣倍健多种维生素a矿物质b2片男士多维青年成年硒钙片锌b12b族,58.0,1,"(50,100]",9000,2536,是,是,广东,广州,健乐多官方旗舰店,//detail.tmall.com/item.htm?id=574535143855&ns=1&abbucket=10
49,49,571172601110,CONBA/康恩贝维生素C咀嚼片(香橙味) VC1.2g/片*100片补充维C成人,17.9,0,"(0,50]",9000,63172,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=571172601110&ns=1&abbucket=10
50,50,611335641424,汤臣倍健维生素b族片复合维生素b2b6b12vb维b综合b男女性维他命,59.0,1,"(50,100]",9000,4351,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=611335641424&ns=1&abbucket=10
51,51,616249452521,买2送1维生素E软胶囊ve外用涂脸脸部c面部维e用搭片油VC粉痘印维C,19.9,0,"(0,50]",8500,4261,是,是,浙江,金华,米禾保健食品专营店,//detail.tmall.com/item.htm?id=616249452521&ns=1&abbucket=10
52,52,539083212507,星鲨维生素D滴剂(胶囊型)30粒儿童补钙补充维生素D发育迟缓佝偻病,45.0,0,"(0,50]",8500,42617,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=539083212507&ns=1&abbucket=10
53,53,561305455978,ALAND/艾兰得 维生素C含片0.65g/片*100片儿童成人VC咀嚼片,29.9,0,"(0,50]",8500,65130,是,是,上海,上海,aland艾兰得旗舰店,//detail.tmall.com/item.htm?id=561305455978&ns=1&abbucket=10
54,54,539380668233,伊可新维生素AD滴剂(胶囊型)0-1岁30粒/盒新生儿佝偻病夜盲婴幼儿,39.8,0,"(0,50]",8000,38262,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=539380668233&ns=1&abbucket=10
55,55,17460215117,康恩贝B族维生素片多种维生素b复合b1 b6 b2 b12男女性vb 维生素b,29.9,0,"(0,50]",8000,47266,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=17460215117&ns=1&abbucket=10
56,56,539952299712,浙江医药维生素E软胶囊30粒心脑血管疾病 习惯性流产不孕ve胶囊,2.9,0,"(0,50]",7500,59645,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=539952299712&ns=1&abbucket=10
57,57,538203073661,汤臣倍健褪黑素安瓶助眠改善睡眠助眠睡眠片退黑素褪黑色素片搭VB,97.0,1,"(50,100]",7500,38897,是,是,广东,广州,汤臣倍健官方旗舰店,//detail.tmall.com/item.htm?id=538203073661&ns=1&abbucket=10
58,58,618182172809,生长钙片碳酸钙青少年15学生厘米乳钙神器没激素长高钙片产品增高,98.0,1,"(50,100]",7500,21655,是,是,浙江,杭州,民林康保健品专营店,//detail.tmall.com/item.htm?id=618182172809&ns=1&abbucket=10
59,59,544574309910,5种口味 康恩贝维生素C泡腾片固体饮料儿童成人VC泡腾维C沸腾泡片,39.9,0,"(0,50]",7000,5166,是,是,浙江,金华,康恩贝保健品专营店,//detail.tmall.com/item.htm?id=544574309910&ns=1&abbucket=10
60,60,541165939443,朗迪碳酸钙D3片100片维生素d3补钙中老年孕妇幼儿童青少年OTC钙片,118.0,2,"(100,150]",7000,28184,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541165939443&ns=1&abbucket=10
61,61,615475515886,麦金利VC片维生素C泡腾片儿童成人固体饮料泡片水无糖泡腾维C片粉,15.9,0,"(0,50]",7000,27617,是,是,广东,深圳,mckin麦金利旗舰店,//detail.tmall.com/item.htm?id=615475515886&ns=1&abbucket=10
62,62,607257459479,【直播推荐】Swisse 钙片+维生素D片150片中老年补钙孕妇钙片,105.0,2,"(100,150]",7000,26073,是,是,浙江,杭州,天猫国际进口超市,//detail.tmall.com/item.htm?id=607257459479&ns=1&abbucket=10
63,63,571372087303,阿里健康直营钙D软胶囊200粒液体钙补维生素D钙片成年中老年男女,45.0,0,"(0,50]",7000,5161,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=571372087303&ns=1&abbucket=10
64,64,525335873644,汤臣倍健液体钙片碳酸钙维生素d3中老年成人青少年女性官方旗舰店,94.0,1,"(50,100]",6500,45308,是,是,上海,上海,汤臣倍健健领专卖店,//detail.tmall.com/item.htm?id=525335873644&ns=1&abbucket=10
65,65,12574776935,ve+vc康恩贝维生素e软胶囊维e油外用面部涂脸脸部维生素c片咀嚼片,73.0,1,"(50,100]",6500,72802,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=12574776935&ns=1&abbucket=10
66,66,537639061468,汤臣倍健女士复合多种维生素A矿物质片钙片碳酸钙综合b族女成年c,128.0,2,"(100,150]",6500,23986,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=537639061468&ns=1&abbucket=10
67,67,598597025274,汤臣倍健钙片碳酸钙男青年中老年青少女性成年维生素d搭长高学生,44.9,0,"(0,50]",6500,24063,是,是,安徽,合肥,汤臣倍健风振专卖店,//detail.tmall.com/item.htm?id=598597025274&ns=1&abbucket=10
68,68,521819577130,德国双心 维生素C泡腾片15片高浓度补充VC+锌 成人免疫力,79.0,1,"(50,100]",6500,3965,是,是,浙江,杭州,doppelherz双心海外旗舰店,//detail.tmall.com/item.htm?id=521819577130&ns=1&abbucket=10
69,69,593236082797,3盒】悦而维生素D滴剂24粒vd 维D儿童补钙生长发育不良佝偻病预防,124.5,2,"(100,150]",6500,9560,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=593236082797&ns=1&abbucket=10
70,70,545419113986,善存多种复合维生素佳维片60粒含维生素ceb成人男女官方旗舰店,102.0,2,"(100,150]",6500,34356,是,是,广东,广州,善存官方旗舰店,//detail.tmall.com/item.htm?id=545419113986&ns=1&abbucket=10
71,71,44465622714,养生堂牌天然ve维生素E软胶囊 250mg/粒*200粒 美容祛斑 延缓衰老,148.0,2,"(100,150]",6500,50777,是,是,浙江,杭州,养生堂旗舰店,//detail.tmall.com/item.htm?id=44465622714&ns=1&abbucket=10
72,72,537522047895,汤臣倍健多种维生素a矿物质b2片男士多维青年成年硒钙片锌b12b族,128.0,2,"(100,150]",6000,31485,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=537522047895&ns=1&abbucket=10
73,73,527036337530,Swisse斯维诗vd钙娘娘钙澳洲钙+维生素D150片孕妇钙片中老年补钙,173.0,3,"(150,200]",6000,62828,是,是,浙江,宁波,swisse官方海外旗舰店,//detail.tmall.com/item.htm?id=527036337530&ns=1&abbucket=10
74,74,622167618600,TheRoyal泰国皇家进口vc咀嚼片维生素c美白儿童维他命C含片1000粒,49.9,0,"(0,50]",6000,3568,是,是,泰国,泰国,theroyal海外旗舰店,//detail.tmall.com/item.htm?id=622167618600&ns=1&abbucket=10
75,75,582611877993,钙尔奇维生素D钙软胶囊90粒成人液体钙钙片补钙官方旗舰店,79.0,1,"(50,100]",6000,22321,是,是,广东,广州,钙尔奇官方旗舰店,//detail.tmall.com/item.htm?id=582611877993&ns=1&abbucket=10
76,76,558218202934,加拿大Baby Ddrops进口婴儿宝宝复合维生素D3滴剂400IU 90滴*2瓶,199.0,3,"(150,200]",6000,47395,是,是,浙江,杭州,天猫国际进口超市,//detail.tmall.com/item.htm?id=558218202934&ns=1&abbucket=10
77,77,614568138481,民生21金维他多维元素片60片多种复合维生素Bb1b6b2维生素C钙铁锌,41.0,0,"(0,50]",5500,4426,是,是,广东,广州,民生医药旗舰店,//detail.tmall.com/item.htm?id=614568138481&ns=1&abbucket=10
78,78,624523447051,汤臣倍健多种维生素a矿物质b2片男女多维青年成年硒钙片锌b12b族,69.0,1,"(50,100]",5500,1855,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=624523447051&ns=1&abbucket=10
79,79,621108874017,星鲨维生素D滴剂婴儿维生素D3软胶囊儿童钙婴幼儿新生儿宝宝成人,48.0,0,"(0,50]",5500,2570,是,是,福建,厦门,星鲨旗舰店,//detail.tmall.com/item.htm?id=621108874017&ns=1&abbucket=10
80,80,43844093441,300片康恩贝维生素C咀嚼片vc片维他命c维c含片男女性成人搭天然ve,56.0,1,"(50,100]",5500,89494,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=43844093441&ns=1&abbucket=10
81,81,623902260687,仁和b族维生素多种复合维生素b片维b b1 b2 b6 b12男女性熬夜常备,59.9,1,"(50,100]",5500,1313,是,是,上海,上海,众久旗舰店,//detail.tmall.com/item.htm?id=623902260687&ns=1&abbucket=10
82,82,557909599308,日本桜の物語160粒 买2送1天然维生素E软胶囊维e胶囊ve外涂脸脸部,38.9,0,"(0,50]",5500,153994,是,是,上海,上海,犀牛食品专营店,//detail.tmall.com/item.htm?id=557909599308&ns=1&abbucket=10
83,83,540055701600,朗迪碳酸钙D3颗粒维生素d钙片儿童补钙发育迟缓青少年小儿孕妇,58.0,1,"(50,100]",5000,32984,否,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=540055701600&ns=1&abbucket=10
84,84,552295149635,汤臣倍健葡萄籽原花青素vc片维生素c搭e胶原蛋白粉胶囊抗氧化澳洲,168.0,3,"(150,200]",5000,23524,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=552295149635&ns=1&abbucket=10
85,85,38604650393,400粒康恩贝钙D软胶囊维生素D液体钙钙片碳酸钙中老年成年女性补,89.0,1,"(50,100]",5000,29665,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=38604650393&ns=1&abbucket=10
86,86,544495484727,vc片维生素c汤臣倍健维生素C橘子味咀嚼片维c含片旗舰店搭维生素e,128.0,2,"(100,150]",5000,32592,是,是,广东,广州,汤臣倍健官方旗舰店,//detail.tmall.com/item.htm?id=544495484727&ns=1&abbucket=10
87,87,538975777749,第2件8折迪巧儿童维D钙咀嚼片60粒碳酸钙青少年钙片小儿钙缺补钙,105.8,2,"(100,150]",5000,36641,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=538975777749&ns=1&abbucket=10
